City	Start	A	B	C	D	E	F	G	H	I	J	K	L	End	
Start	0	92	88	92	150 (A)	168 (B)	225 (D)	248 (E)	238 (D)	235 (E)	300 (I)	308 (F)	300 (F)	310 (J)
A		0			58	80	133 (D)	158 (D)	146 (D)	145 (D)	209 (F)	216 (F)	208 (F)	218 (L)
B			0		75	80	142 (E)	160 (E)	158 (E)	147 (E)	212 (I)	225 (F)	214 (I)	222 (J)
C				0	63	83	138 (D)	163 (D)	151 (D)	150 (D)	214 (F)	221 (F)	213 (F)	223 (L)
D					0		75	100	88	87	151 (F)	158 (F)	150 (F)	160 (L)
E						0	62	80	78	67	132 (I)	145 (F)	134 (I)	142 (J)
F							0				76	83	75	85 (L)
G								0			58	80	70	68 (J)
H									0		70	80	70	80 (J)
I										0	65	80	67	75 (J)
J											0			10
K												0		10
L													0	10
End														0
